community_num	old_oai_id
1321831	oai:oaicat.oclc.org:SS7729499_7729499_6986164_CORNELL
9051118	oai:oaicat.oclc.org:SS7729975_7729975_8616334_TRINITY
502759	oai:oaicat.oclc.org:SS7729539_7729539_1666355_CORNELL
201820	oai:oaicat.oclc.org:SS7729419_7729419_573142_CORNELL
21847161	oai:oaicat.oclc.org:SS7729975_7729975_12152599_TRINITY
3847500	oai:oaicat.oclc.org:SS7729975_7729975_8502491_TRINITY
14905219	oai:oaicat.oclc.org:SS7731126_7731126_10772897_RHODEIC
9222239	oai:oaicat.oclc.org:SS7729463_7729463_8859464_CORNELL
9221367	oai:oaicat.oclc.org:SS7729463_7729463_8865497_CORNELL
1712700	oai:oaicat.oclc.org:SS7729596_7729596_8478227_CORNELL
9223452	oai:oaicat.oclc.org:SS7729463_7729463_8859208_CORNELL
503864	oai:oaicat.oclc.org:SS7729539_7729539_1668122_CORNELL
323555	oai:oaicat.oclc.org:SS7729440_7729440_620345_CORNELL
2842355	oai:oaicat.oclc.org:SS7729997_7729997_8329683_TRINITY
8286710	oai:oaicat.oclc.org:SS7729975_7729975_8575930_TRINITY
572586	oai:oaicat.oclc.org:SS7729995_7729995_9189827_CORNELL
18034584	oai:oaicat.oclc.org:SS7731342_7731342_10934770_TRINITY
2842488	oai:oaicat.oclc.org:SS7729997_7729997_8329504_TRINITY
9222200	oai:oaicat.oclc.org:SS7729463_7729463_8859046_CORNELL
2672282	oai:oaicat.oclc.org:SS7729463_7729463_8385615_CORNELL
22406816	oai:oaicat.oclc.org:SS7729418_7729418_12710204_COLBY
2574480	oai:oaicat.oclc.org:SS7729995_7729995_10474104_CORNELL
17336835	oai:oaicat.oclc.org:SS7731291_7731291_10903597_GETTY
1321900	oai:oaicat.oclc.org:SS7729499_7729499_6985830_CORNELL
22642890	oai:oaicat.oclc.org:SS7729975_7729975_12722619_TRINITY
18524153	oai:oaicat.oclc.org:SS7731263_7731263_11067299_EMERSON
1318428	oai:oaicat.oclc.org:SS7729499_7729499_6262377_CORNELL
574746	oai:oaicat.oclc.org:SS7729995_7729995_8370532_CORNELL
2122005	oai:oaicat.oclc.org:SS7729441_7729441_9625235_CORNELL
215958	oai:oaicat.oclc.org:SS7729473_7729473_774088_CORNELL
21727891	oai:oaicat.oclc.org:SS7729975_7729975_12092799_TRINITY
22451943	oai:oaicat.oclc.org:SS7732188_7732188_12706821_JEFF
550987	oai:oaicat.oclc.org:SS7729995_7729995_8367582_CORNELL
1325219	oai:oaicat.oclc.org:SS7729499_7729499_7995185_CORNELL
539576	oai:oaicat.oclc.org:SS7729737_7729737_7858800_BRYN
1355889	oai:oaicat.oclc.org:SS7729495_7729495_8278417_WASH
504277	oai:oaicat.oclc.org:SS7729538_7729538_1669378_CORNELL
2842762	oai:oaicat.oclc.org:SS7729997_7729997_8330632_TRINITY
9221260	oai:oaicat.oclc.org:SS7729463_7729463_8861385_CORNELL
1723878	oai:oaicat.oclc.org:SS7730455_7730455_8929786_BRYN
311223	oai:oaicat.oclc.org:SS7729421_7729421_633669_DELW
9218579	oai:oaicat.oclc.org:SS7729463_7729463_8861443_CORNELL
308003	oai:oaicat.oclc.org:SS7729421_7729421_635067_DELW
11095492	oai:oaicat.oclc.org:SS7730635_7730635_9796238_LAWRENCE
9481760	oai:oaicat.oclc.org:SS7730017_7730017_8918988_RHODE
550054	oai:oaicat.oclc.org:SS7729995_7729995_8365847_CORNELL
550024	oai:oaicat.oclc.org:SS7729995_7729995_8365657_CORNELL
1323297	oai:oaicat.oclc.org:SS7729499_7729499_7499009_CORNELL
1324142	oai:oaicat.oclc.org:SS7729499_7729499_7770748_CORNELL
1314620	oai:oaicat.oclc.org:SS7729499_7729499_5807862_CORNELL
201551	oai:oaicat.oclc.org:SS7729419_7729419_576046_CORNELL
3386024	oai:oaicat.oclc.org:SS7729429_7729429_9240101_CORNELL
202231	oai:oaicat.oclc.org:SS7729419_7729419_573800_CORNELL
323774	oai:oaicat.oclc.org:SS7729440_7729440_614051_CORNELL
21972234	oai:oaicat.oclc.org:SS7729955_7729955_12154860_TRINITY
322673	oai:oaicat.oclc.org:SS7729440_7729440_614060_CORNELL
767606	oai:oaicat.oclc.org:SS7729469_7729469_745145_DELW
9312894	oai:oaicat.oclc.org:SS7730477_7730477_8770027_CUNY
269339	oai:oaicat.oclc.org:SS7729439_7729439_683642_CORNELL
293561	oai:oaicat.oclc.org:SS7729421_7729421_637536_DELW
1343731	oai:oaicat.oclc.org:SS7729495_7729495_8277129_WASH
1517812	oai:oaicat.oclc.org:SS7729596_7729596_7000218_CORNELL
3244881	oai:oaicat.oclc.org:SS7729975_7729975_8431763_TRINITY
570691	oai:oaicat.oclc.org:SS7730455_7730455_8791927_BRYN
3386268	oai:oaicat.oclc.org:SS7729429_7729429_9240589_CORNELL
13621496	oai:oaicat.oclc.org:SS7730795_7730795_10557448_GETTY
574024	oai:oaicat.oclc.org:SS7729995_7729995_8368959_CORNELL
574065	oai:oaicat.oclc.org:SS7729995_7729995_8369191_CORNELL
402419	oai:oaicat.oclc.org:SS7729418_7729418_600556_COLBY
17410408	oai:oaicat.oclc.org:SS7730635_7730635_11893337_LAWRENCE
9711582	oai:oaicat.oclc.org:SS7729975_7729975_8978371_TRINITY
1322363	oai:oaicat.oclc.org:SS7729499_7729499_7343818_CORNELL
22340301	oai:oaicat.oclc.org:SS7729975_7729975_12626324_TRINITY
2586421	oai:oaicat.oclc.org:SS7729441_7729441_9625890_CORNELL
2672579	oai:oaicat.oclc.org:SS7729463_7729463_8383485_CORNELL
1322998	oai:oaicat.oclc.org:SS7729499_7729499_7472385_CORNELL
2861577	oai:oaicat.oclc.org:SS7729596_7729596_9157679_CORNELL
9209682	oai:oaicat.oclc.org:SS7729596_7729596_9158451_CORNELL
9465831	oai:oaicat.oclc.org:SS7729975_7729975_8903760_TRINITY
1313791	oai:oaicat.oclc.org:SS7729499_7729499_6259758_CORNELL
295277	oai:oaicat.oclc.org:SS7729421_7729421_627156_DELW
10958432	oai:oaicat.oclc.org:SS7729975_7729975_9694674_TRINITY
297551	oai:oaicat.oclc.org:SS7729421_7729421_645393_DELW
8189939	oai:oaicat.oclc.org:SS7729975_7729975_8556968_TRINITY
8192872	oai:oaicat.oclc.org:SS7729975_7729975_8558921_TRINITY
2676671	oai:oaicat.oclc.org:SS7729463_7729463_8388738_CORNELL
575519	oai:oaicat.oclc.org:SS7729995_7729995_8372370_CORNELL
306310	oai:oaicat.oclc.org:SS7729421_7729421_631898_DELW
10681402	oai:oaicat.oclc.org:SS7729975_7729975_9407105_TRINITY
10927031	oai:oaicat.oclc.org:SS7729975_7729975_9686108_TRINITY
415955	oai:oaicat.oclc.org:SS7729421_7729421_656836_DELW
1517258	oai:oaicat.oclc.org:SS7729596_7729596_6996716_CORNELL
306272	oai:oaicat.oclc.org:SS7729421_7729421_646812_DELW
201876	oai:oaicat.oclc.org:SS7729419_7729419_573232_CORNELL
19120685	oai:oaicat.oclc.org:SS7731291_7731291_11856133_GETTY
293769	oai:oaicat.oclc.org:SS7729421_7729421_639195_DELW
1322190	oai:oaicat.oclc.org:SS7729499_7729499_7339556_CORNELL
14325437	oai:oaicat.oclc.org:SS7730635_7730635_10786802_LAWRENCE
1318058	oai:oaicat.oclc.org:SS7729499_7729499_6257811_CORNELL
13448486	oai:oaicat.oclc.org:SS7731300_7731300_10894423_CUNY
1315454	oai:oaicat.oclc.org:SS7729499_7729499_5115105_CORNELL
2653515	oai:oaicat.oclc.org:SS7729795_7729795_8327585_BRYN
13458875	oai:oaicat.oclc.org:SS7730635_7730635_10936072_LAWRENCE
1410836	oai:oaicat.oclc.org:SS7729473_7729473_3111231_CORNELL
302768	oai:oaicat.oclc.org:SS7729441_7729441_589663_CORNELL
502951	oai:oaicat.oclc.org:SS7729539_7729539_1666495_CORNELL
13458888	oai:oaicat.oclc.org:SS7730635_7730635_10806982_LAWRENCE
2675035	oai:oaicat.oclc.org:SS7729463_7729463_8386580_CORNELL
22010013	oai:oaicat.oclc.org:SS7729975_7729975_12351542_TRINITY
2160255	oai:oaicat.oclc.org:SS7729795_7729795_8312197_BRYN
296331	oai:oaicat.oclc.org:SS7729421_7729421_644826_DELW
9221595	oai:oaicat.oclc.org:SS7729463_7729463_8865859_CORNELL
302121	oai:oaicat.oclc.org:SS7729441_7729441_587953_CORNELL
293803	oai:oaicat.oclc.org:SS7729421_7729421_624861_DELW
22280650	oai:oaicat.oclc.org:SS7729418_7729418_12577992_COLBY
10775589	oai:oaicat.oclc.org:SS7730616_7730616_9838122_SAINTMARY
12950836	oai:oaicat.oclc.org:SS7729975_7729975_10435557_TRINITY
8592833	oai:oaicat.oclc.org:SS7729975_7729975_8591375_TRINITY
503536	oai:oaicat.oclc.org:SS7729539_7729539_1667616_CORNELL
1805979	oai:oaicat.oclc.org:SS7730455_7730455_8785078_BRYN
602574	oai:oaicat.oclc.org:SS7730455_7730455_8785020_BRYN
9217789	oai:oaicat.oclc.org:SS7729463_7729463_8868324_CORNELL
157735	oai:oaicat.oclc.org:SS7729417_7729417_571164_CORNELL
9221869	oai:oaicat.oclc.org:SS7729463_7729463_8868790_CORNELL
17356465	oai:oaicat.oclc.org:SS7731291_7731291_10908845_GETTY
17341649	oai:oaicat.oclc.org:SS7731291_7731291_10906264_GETTY
544243	oai:oaicat.oclc.org:SS7729995_7729995_10340675_CORNELL
12591393	oai:oaicat.oclc.org:SS7729995_7729995_10825813_CORNELL
9220041	oai:oaicat.oclc.org:SS7729463_7729463_8869960_CORNELL
9217620	oai:oaicat.oclc.org:SS7729463_7729463_8867906_CORNELL
9220616	oai:oaicat.oclc.org:SS7729463_7729463_8869757_CORNELL
456290	oai:oaicat.oclc.org:SS7729443_7729443_689819_CORNELL
9219164	oai:oaicat.oclc.org:SS7729463_7729463_8868412_CORNELL
574597	oai:oaicat.oclc.org:SS7729995_7729995_8370409_CORNELL
2678669	oai:oaicat.oclc.org:SS7729463_7729463_8379800_CORNELL
17337509	oai:oaicat.oclc.org:SS7731291_7731291_10904190_GETTY
308634	oai:oaicat.oclc.org:SS7729421_7729421_635619_DELW
2943695	oai:oaicat.oclc.org:SS7729444_7729444_8346022_DELW
504309	oai:oaicat.oclc.org:SS7729538_7729538_1669514_CORNELL
372737	oai:oaicat.oclc.org:SS7729438_7729438_599535_CORNELL
767938	oai:oaicat.oclc.org:SS7729471_7729471_746129_DELW
1298928	oai:oaicat.oclc.org:SS7729496_7729496_3045895_WASH
298429	oai:oaicat.oclc.org:SS7729428_7729428_582075_CORNELL
310981	oai:oaicat.oclc.org:SS7729421_7729421_633480_DELW
307856	oai:oaicat.oclc.org:SS7729421_7729421_634977_DELW
13345706	oai:oaicat.oclc.org:SS7730635_7730635_12626157_LAWRENCE
2842383	oai:oaicat.oclc.org:SS7729997_7729997_8330018_TRINITY
1353823	oai:oaicat.oclc.org:SS7729495_7729495_8277513_WASH
1317389	oai:oaicat.oclc.org:SS7729499_7729499_6261785_CORNELL
2673807	oai:oaicat.oclc.org:SS7729463_7729463_8392995_CORNELL
1315629	oai:oaicat.oclc.org:SS7729499_7729499_6261008_CORNELL
8288590	oai:oaicat.oclc.org:SS7730156_7730156_8577500_RHODE
292769	oai:oaicat.oclc.org:SS7729421_7729421_642117_DELW
768061	oai:oaicat.oclc.org:SS7729465_7729465_744548_DELW
269349	oai:oaicat.oclc.org:SS7729439_7729439_684516_CORNELL
9274352	oai:oaicat.oclc.org:SS7732183_7732183_12691181_JEFF
17160950	oai:oaicat.oclc.org:SS7730695_7730695_10892867_METHOD
3382470	oai:oaicat.oclc.org:SS7729975_7729975_8457798_TRINITY
547382	oai:oaicat.oclc.org:SS7729995_7729995_8359167_CORNELL
202034	oai:oaicat.oclc.org:SS7729419_7729419_573484_CORNELL
9219915	oai:oaicat.oclc.org:SS7729463_7729463_8871297_CORNELL
767636	oai:oaicat.oclc.org:SS7729469_7729469_745250_DELW
200742	oai:oaicat.oclc.org:SS7729419_7729419_578358_CORNELL
414954	oai:oaicat.oclc.org:SS7729421_7729421_655645_DELW
1325088	oai:oaicat.oclc.org:SS7729499_7729499_7947805_CORNELL
9219578	oai:oaicat.oclc.org:SS7729463_7729463_8870452_CORNELL
2941973	oai:oaicat.oclc.org:SS7729444_7729444_8344934_DELW
2677959	oai:oaicat.oclc.org:SS7729463_7729463_8382876_CORNELL
324944	oai:oaicat.oclc.org:SS7729421_7729421_627582_DELW
309716	oai:oaicat.oclc.org:SS7729421_7729421_640719_DELW
201016	oai:oaicat.oclc.org:SS7729419_7729419_578796_CORNELL
1325444	oai:oaicat.oclc.org:SS7729499_7729499_8274705_CORNELL
9209879	oai:oaicat.oclc.org:SS7729596_7729596_9158593_CORNELL
294913	oai:oaicat.oclc.org:SS7729421_7729421_622817_DELW
1322632	oai:oaicat.oclc.org:SS7729499_7729499_7369271_CORNELL
2860680	oai:oaicat.oclc.org:SS7729596_7729596_9155499_CORNELL
18014044	oai:oaicat.oclc.org:SS7730635_7730635_10950435_LAWRENCE
9918271	oai:oaicat.oclc.org:SS7729975_7729975_8980941_TRINITY
296958	oai:oaicat.oclc.org:SS7729421_7729421_630151_DELW
325337	oai:oaicat.oclc.org:SS7729421_7729421_630205_DELW
8689340	oai:oaicat.oclc.org:SS7729975_7729975_9006594_TRINITY
2860881	oai:oaicat.oclc.org:SS7729596_7729596_9156154_CORNELL
22330840	oai:oaicat.oclc.org:SS7729975_7729975_12621145_TRINITY
574314	oai:oaicat.oclc.org:SS7729995_7729995_8369406_CORNELL
13867442	oai:oaicat.oclc.org:SS7730795_7730795_10561977_GETTY
17149461	oai:oaicat.oclc.org:SS7731291_7731291_10889473_GETTY
297571	oai:oaicat.oclc.org:SS7729421_7729421_631526_DELW
1486591	oai:oaicat.oclc.org:SS7729596_7729596_6987995_CORNELL
309554	oai:oaicat.oclc.org:SS7729421_7729421_652375_DELW
3011174	oai:oaicat.oclc.org:SS7729975_7729975_8395692_TRINITY
1313348	oai:oaicat.oclc.org:SS7729499_7729499_6259977_CORNELL
1486954	oai:oaicat.oclc.org:SS7729596_7729596_6995897_CORNELL
10927264	oai:oaicat.oclc.org:SS7729975_7729975_9686712_TRINITY
575514	oai:oaicat.oclc.org:SS7729995_7729995_8372330_CORNELL
415913	oai:oaicat.oclc.org:SS7729421_7729421_656788_DELW
2672820	oai:oaicat.oclc.org:SS7729463_7729463_8380808_CORNELL
1314275	oai:oaicat.oclc.org:SS7729499_7729499_6259333_CORNELL
548213	oai:oaicat.oclc.org:SS7729995_7729995_8361339_CORNELL
4034522	oai:oaicat.oclc.org:SS7729975_7729975_8518029_TRINITY
2675448	oai:oaicat.oclc.org:SS7729463_7729463_8389660_CORNELL
15067179	oai:oaicat.oclc.org:SS7730635_7730635_10824807_LAWRENCE
2677893	oai:oaicat.oclc.org:SS7729463_7729463_8388042_CORNELL
307954	oai:oaicat.oclc.org:SS7729421_7729421_649572_DELW
1316873	oai:oaicat.oclc.org:SS7729499_7729499_6259244_CORNELL
9171978	oai:oaicat.oclc.org:SS7729975_7729975_8641839_TRINITY
2678346	oai:oaicat.oclc.org:SS7729463_7729463_8388413_CORNELL
9116995	oai:oaicat.oclc.org:SS7730437_7730437_8637228_BRYN
9116525	oai:oaicat.oclc.org:SS7730437_7730437_8636296_BRYN
325596	oai:oaicat.oclc.org:SS7729421_7729421_638589_DELW
502956	oai:oaicat.oclc.org:SS7729539_7729539_1666502_CORNELL
1318880	oai:oaicat.oclc.org:SS7729499_7729499_5115273_CORNELL
3434586	oai:oaicat.oclc.org:SS7729975_7729975_8466977_TRINITY
325269	oai:oaicat.oclc.org:SS7729421_7729421_637914_DELW
1322035	oai:oaicat.oclc.org:SS7729499_7729499_7321321_CORNELL
302571	oai:oaicat.oclc.org:SS7729441_7729441_588913_CORNELL
215349	oai:oaicat.oclc.org:SS7729473_7729473_2171071_CORNELL
